"_id","lastName","firstName","userName","email","department","role","jobRole"
"46a00c7e-83e7-4ce8","McLice","Carter","cmclice0","cmice0@nba.com","IT","ADMIN","Systemadministrator"
"2848e4ea-7cdc-41a3",Chastaing","Lorens","lchastaing1","lctaing1@furl.net","IT","ADMIN","Technician"
"ce9d9fcc-79e3-491b",Dyet","Blanch","Street bdyet2","bdt2@blognes.com","HR","USER","Recruiter"
"8f0a9154-9580-4aab","Knellen","Danyette","dknellen3","dllen3@ed.gov","HR","USER","Recruiter"
"15b92f97-9482-499d",Ehrat","Iver","iehrat4","ieat4@cbc.ca","IT","ADMIN","Junior Developer"
"b97a9824-4513-4741",Zuan","Rudolf","rzuan5","rzun5@themes.com","SALES","USER","Director of Sales"
"535da6b2-e506-42ce",Lemmen","Tova","tlemmen6","leen6@youtube.com","SALES","USER","Salesman"
"6920d813-3a6f-4cbc",Djokovic","Reamonn","rdjokovic7","rdjokovic7@n.com","PR","USER","publicist"
"7c37097f-639b-4a1a",Mynett","Debra","dmynett8","mynt8@oaic.go","PR","USER","publicist "
"730c10fc-d9e2-4d83",Robbings","Olympia","orobbings9","obbs9@biglobe.com","QC","USER","Quality Tester"
"f8cfa155-9ae0-4f26",Cawsey","Patrica","pcawseya","pcaya@weebly.com","QC","USER","Quality Inspector"
"360f2247-86b5-41f0",Parffrey","Abbe","aparffreyb","apaeyb@scribd.com","IT","ADMIN","Senior Developer"
"54b17d2c-5c6e-43da",Elie","Tully","teliec","telc@google.co","SALES","USER","Salesman"
"e23fb164-3365-4759",Lufkin","Francyne","flufkind","flund@slate.com","HR","USER","Recruiter Manager"
